"","Method","Accuracy"
"745","Neural Network",0.768292682926829
"746","Neural Network",0.713414634146341
"747","Neural Network",0.719512195121951
"748","Neural Network",0.725609756097561
"749","Neural Network",0.722560975609756
"750","Neural Network",0.75609756097561
"751","Neural Network",0.759146341463415
"752","Neural Network",0.740853658536585
"753","Neural Network",0.740853658536585
"754","Neural Network",0.725609756097561
"755","Neural Network",0.753048780487805
"756","Neural Network",0.74390243902439
"757","Neural Network",0.768292682926829
"758","Neural Network",0.789634146341463
"759","Neural Network",0.801829268292683
"760","Neural Network",0.74390243902439
"761","Neural Network",0.75609756097561
"762","Neural Network",0.786585365853659
"763","Neural Network",0.774390243902439
"764","Neural Network",0.716463414634146
"765","Neural Network",0.75609756097561
"766","Neural Network",0.765243902439024
"767","Neural Network",0.73780487804878
"768","Neural Network",0.734756097560976
"769","Neural Network",0.74390243902439
"770","Neural Network",0.719512195121951
"771","Neural Network",0.786585365853659
"772","Neural Network",0.771341463414634
"773","Neural Network",0.789634146341463
"774","Neural Network",0.75
"775","Neural Network",0.768292682926829
"776","Neural Network",0.725609756097561
"777","Neural Network",0.759146341463415
"778","Neural Network",0.728658536585366
"779","Neural Network",0.76219512195122
"780","Neural Network",0.765243902439024
"781","Neural Network",0.74390243902439
"782","Neural Network",0.753048780487805
"783","Neural Network",0.728658536585366
"784","Neural Network",0.795731707317073
"785","Neural Network",0.780487804878049
"786","Neural Network",0.798780487804878
"787","Neural Network",0.734756097560976
"788","Neural Network",0.792682926829268
"789","Neural Network",0.777439024390244
"790","Neural Network",0.771341463414634
"791","Neural Network",0.768292682926829
"792","Neural Network",0.75
"793","Neural Network",0.704268292682927
"794","Neural Network",0.728658536585366
"795","Neural Network",0.765243902439024
"796","Neural Network",0.719512195121951
"797","Neural Network",0.74390243902439
"798","Neural Network",0.716463414634146
"799","Neural Network",0.804878048780488
"800","Neural Network",0.759146341463415
"801","Neural Network",0.76219512195122
"802","Neural Network",0.823170731707317
"803","Neural Network",0.801829268292683
"804","Neural Network",0.722560975609756
"805","Neural Network",0.746951219512195
"806","Neural Network",0.76219512195122
"807","Neural Network",0.713414634146341
"808","Neural Network",0.765243902439024
"809","Neural Network",0.731707317073171
"810","Neural Network",0.75609756097561
"811","Neural Network",0.780487804878049
"812","Neural Network",0.746951219512195
"813","Neural Network",0.731707317073171
"814","Neural Network",0.61280487804878
"815","Neural Network",0.771341463414634
"816","Neural Network",0.76219512195122
"817","Neural Network",0.74390243902439
"818","Neural Network",0.771341463414634
"819","Neural Network",0.780487804878049
"820","Neural Network",0.75609756097561
"821","Neural Network",0.740853658536585
"822","Neural Network",0.780487804878049
"823","Neural Network",0.731707317073171
"824","Neural Network",0.783536585365854
"825","Neural Network",0.786585365853659
"826","Neural Network",0.75609756097561
"827","Neural Network",0.795731707317073
